Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Z_Score
1,05-02-2010,1643690.9,0,42.31,2.572,211.0963582,8.106,1.0574197165125396
1,12-02-2010,1641957.44,1,38.51,2.548,211.2421698,8.106,1.0543479637937692
1,19-02-2010,1611968.17,0,39.93,2.514,211.2891429,8.106,1.0012059116803962
1,26-02-2010,1409727.59,0,46.63,2.561,211.3196429,8.106,0.6428284172699376
1,05-03-2010,1554806.68,0,46.5,2.625,211.3501429,8.106,0.8999137201579605
1,12-03-2010,1439541.59,0,57.79,2.667,211.3806429,8.106,0.6956598847150637
1,19-03-2010,1472515.79,0,54.58,2.72,211.215635,8.106,0.7540913388583881
1,26-03-2010,1404429.92,0,51.45,2.732,211.0180424,8.106,0.6334407577764101
1,02-04-2010,1594968.28,0,62.27,2.719,210.8204499,7.808,0.9710815025066618
1,09-04-2010,1545418.53,0,65.86,2.77,210.6228574,7.808,0.8832775847485905
1,16-04-2010,1466058.28,0,66.32,2.808,210.4887,7.808,0.7426484016697661
1,23-04-2010,1391256.12,0,64.84,2.795,210.4391228,7.808,0.6100963160433788
1,30-04-2010,1425100.71,0,67.41,2.78,210.3895456,7.808,0.6700701321961471
1,07-05-2010,1603955.12,0,72.55,2.835,210.3399684,7.808,0.9870065023354188
1,14-05-2010,1494251.5,0,74.78,2.854,210.3374261,7.808,0.7926077893602228
1,21-05-2010,1399662.07,0,76.44,2.826,210.6170934,7.808,0.6249919581501191
1,28-05-2010,1432069.95,0,80.44,2.759,210.8967606,7.808,0.6824198731291742
1,04-06-2010,1615524.71,0,80.69,2.705,211.1764278,7.808,1.0075082269425983
1,11-06-2010,1542561.09,0,80.43,2.668,211.4560951,7.808,0.8782140995290159
1,18-06-2010,1503284.06,0,84.11,2.637,211.4537719,7.808,0.8086138066536471
1,25-06-2010,1422711.6,0,84.34,2.653,211.3386526,7.808,0.665836544378752
1,02-07-2010,1492418.14,0,80.91,2.669,211.2235333,7.787,0.78935901029149
1,09-07-2010,1546074.18,0,80.48,2.642,211.108414,7.787,0.8844394198472151
1,16-07-2010,1448938.92,0,83.15,2.623,211.1003854,7.787,0.7123122874106462
1,23-07-2010,1385065.2,0,83.36,2.608,211.2351443,7.787,0.5991257858080736
1,30-07-2010,1371986.6,0,81.84,2.64,211.3699032,7.787,0.5759500418579891
1,06-08-2010,1605491.78,0,87.16,2.627,211.5046621,7.787,0.9897295184608708
1,13-08-2010,1508237.76,0,87.0,2.692,211.6394211,7.787,0.8173919390841469
1,20-08-2010,1513080.49,0,86.65,2.664,211.6033633,7.787,0.8259734287313104
1,27-08-2010,1449142.92,0,85.22,2.619,211.5673056,7.787,0.712673782659818
1,03-09-2010,1540163.53,0,81.21,2.577,211.5312479,7.787,0.8739655380113484
1,10-09-2010,1507460.69,1,78.69,2.565,211.4951902,7.787,0.8160149434308435
1,17-09-2010,1430378.67,0,82.11,2.582,211.5224596,7.787,0.6794228648692764
1,24-09-2010,1351791.03,0,80.94,2.624,211.5972246,7.787,0.5401627741652687
1,01-10-2010,1453329.5,0,71.89,2.603,211.6719895,7.838,0.7200925511905895
1,08-10-2010,1508239.93,0,63.93,2.633,211.7467544,7.838,0.817395784401258
1,15-10-2010,1459409.1,0,67.18,2.72,211.8137436,7.838,0.730865818430121
1,22-10-2010,1345454.0,0,69.86,2.725,211.8612937,7.838,0.5289333318179221
1,29-10-2010,1384209.22,0,69.64,2.716,211.9088438,7.838,0.5976089588306913
1,05-11-2010,1551659.28,0,58.74,2.689,211.9563939,7.838,0.8943364155146122
1,12-11-2010,1494479.49,0,59.61,2.728,212.003944,7.838,0.793011795741883
1,19-11-2010,1483784.18,0,51.41,2.771,211.8896737,7.838,0.7740593263623788
1,26-11-2010,1955624.11,1,64.52,2.735,211.7484333,7.838,1.6101764492276633
1,03-12-2010,1548033.78,0,49.27,2.708,211.607193,7.838,0.887911900681906
1,10-12-2010,1682614.26,0,46.33,2.843,211.4659526,7.838,1.1263932935801901
1,17-12-2010,1891034.93,0,49.84,2.869,211.4053124,7.838,1.495722127081108
